date,actual,model,period,forecast,error,abs_error,pct_error
2025-03-18,48.10259811413248,Random Forest,Test,42.67498831511722,5.427609799015265,5.427609799015265,11.283402584902458
2025-03-19,40.029247731150264,Random Forest,Test,45.27967804406235,-5.250430312912087,5.250430312912087,13.11648509653672
2025-03-20,37.91148096325208,Random Forest,Test,42.44172615085899,-4.5302451876069085,4.5302451876069085,11.949533683472069
2025-03-21,37.15336942262166,Random Forest,Test,39.453231668942955,-2.2998622463212968,2.2998622463212968,6.1901848528466825
2025-03-22,48.16335508468364,Random Forest,Test,43.64319350581372,4.520161578869917,4.520161578869917,9.385063750069538
2025-03-23,52.32392067248836,Random Forest,Test,52.553878817128684,-0.22995814464032094,0.22995814464032094,0.4394895139446836
2025-03-24,37.92257022122795,Random Forest,Test,44.98333915870007,-7.060768937472119,7.060768937472119,18.618909257157117
2025-03-25,33.90340970205443,Random Forest,Test,38.40914328035561,-4.505733578301175,4.505733578301175,13.289912778383888
2025-03-26,38.63975738542772,Random Forest,Test,35.17857090412112,3.461186481306598,3.461186481306598,8.957578192796626
2025-03-27,40.218736464327705,Random Forest,Test,39.33014806220559,0.8885884021221173,0.8885884021221173,2.209389155997621
2025-03-28,43.2467686469821,Random Forest,Test,42.725830954516795,0.5209376924653029,0.5209376924653029,1.2045702112859606
2025-03-29,44.67009087317266,Random Forest,Test,47.560161216416226,-2.890070343243565,2.890070343243565,6.469810754245057
2025-03-30,62.67691152767657,Random Forest,Test,49.94195552743623,12.734956000240345,12.734956000240345,20.318416606435534
2025-03-31,50.663778532631014,Random Forest,Test,48.30768278068199,2.35609575194902,2.35609575194902,4.6504540722945285
2025-04-01,49.616950897942,Random Forest,Test,46.27753093252746,3.3394199654145353,3.3394199654145353,6.730401415200721
2025-04-02,46.57247514390372,Random Forest,Test,46.926851108190974,-0.35437596428725016,0.35437596428725016,0.7609128851156572
2025-04-03,48.03391457366821,Random Forest,Test,47.04011356420201,0.9938010094662033,0.9938010094662033,2.068956940709131
2025-04-04,45.887065259867136,Random Forest,Test,49.703198233259315,-3.816132973392179,3.816132973392179,8.316358764241503
