alpha,lambda,validation_RMSE,validation_MAE,validation_MAPE,model
0.75,4.245913286770384,9.4698124881056,7.643287574151983,15.90026175161306,Elastic Net
0.75,3.868718052601079,9.130474002982737,7.361452460774482,15.398524627620313,Elastic Net
0.75,3.525031803441747,8.745466697681472,7.036631237132666,14.777491417569664,Elastic Net
0.75,3.211877693418736,8.387273520173895,6.732957955439296,14.197679978127486,Elastic Net
0.75,2.9265433314412763,8.070199593110672,6.46534403939512,13.689095708857796,Elastic Net
0.75,2.666557287767439,7.790235218334603,6.23136270082101,13.247527194206624,Elastic Net
0.75,2.4296676876620236,7.543732611875534,6.021239325466706,12.85279795800356,Elastic Net
0.75,2.213822706734877,7.327260363265566,5.8335705622636045,12.501812501465965,Elastic Net
0.75,2.0171527990196028,7.137611833123999,5.666143454316141,12.189636282464805,Elastic Net
0.75,1.8379545038607747,6.971813376628095,5.514703819547611,11.907847168033527,Elastic Net
0.75,1.6746756913526601,6.827128984607217,5.381790106248197,11.663536720760273,Elastic Net
0.75,1.5259021185325021,6.701060851592198,5.265645698026066,11.452022316193395,Elastic Net
0.75,1.3903451798845385,6.591345822667722,5.162651336140928,11.264679321433876,Elastic Net
0.75,1.2668307460554817,6.484121344151171,5.065663638597985,11.085090257550252,Elastic Net
0.75,1.154288994107754,6.388569025838525,4.976468445111957,10.919107225780499,Elastic Net
0.75,1.0517451412249972,6.30602422669854,4.896246424669621,10.76992365420771,Elastic Net
0.75,0.9583110016096428,6.232925812609589,4.8229910271585466,10.63299785290248,Elastic Net
0.75,0.8731772934424372,6.171770311757047,4.760473035046572,10.50688818157538,Elastic Net
0.75,0.7956066292704743,6.118634156296057,4.707942754365016,10.400535423310153,Elastic Net
0.75,0.7249271291098397,6.072511520825362,4.663627799867267,10.309852636201102,Elastic Net
0.75,0.6605266009426106,6.032430606821627,4.624902837402596,10.230482209837813,Elastic Net
0.75,0.601847238202465,5.9975729604514205,4.591262363065683,10.162549831181934,Elastic Net
0.75,0.5483807883210534,5.967231443192817,4.563064540686629,10.10579476701536,Elastic Net
0.75,0.4996641504873957,5.940959195314125,4.539725706281028,10.058253661933751,Elastic Net
0.75,0.45527536449020006,5.917895013667185,4.518553301070609,10.015225622013533,Elastic Net
0.75,0.41482995590037464,5.896891500157324,4.499058137005346,9.975927943413854,Elastic Net
0.75,0.3779776059374523,5.878041157887581,4.4817938913307795,9.940534697278602,Elastic Net
0.75,0.3443991171759033,5.861422584273775,4.46654941602162,9.90939495424162,Elastic Net
0.75,0.31380364880973743,5.846894379468641,4.4532517336718485,9.881868222442613,Elastic Net
0.75,0.2859261975285774,5.8333472030464275,4.440971809465926,9.857026324490882,Elastic Net
0.75,0.26052530218576037,5.809751997342521,4.423473077195154,9.829319857671607,Elastic Net
0.75,0.23738095237739812,5.777196305560867,4.399109655139949,9.791527818879032,Elastic Net
0.75,0.21629268281750977,5.748193534751622,4.377959755054357,9.761343488957086,Elastic Net
0.75,0.19707783700361553,5.721957383089897,4.35781594637845,9.733521876906789,Elastic Net
0.75,0.17956998513349345,5.700135114077864,4.341984616409871,9.713222707832369,Elastic Net
0.75,0.16361748256985134,5.68217500690036,4.329328456384761,9.698311031065362,Elastic Net
0.75,0.14908215636702374,5.667370947392917,4.3189559663504,9.687020076304998,Elastic Net
0.75,0.1358381084830177,5.6551930126494305,4.311291117139131,9.679431435467606,Elastic Net
0.75,0.12377062531090122,5.64493565265914,4.30455981393453,9.673056146021581,Elastic Net
0.75,0.11277518408441828,5.635669386909007,4.298732053966305,9.66834555968717,Elastic Net
0.75,0.10275654755179023,5.628290770458865,4.29663524339275,9.67125042093868,Elastic Net
0.75,0.09362793907620151,5.621834780825548,4.294837132369212,9.673659148506568,Elastic Net
